Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Egypt, Arab Rep.",EGY,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3296.1,3549.3,3600,3958.3,4512.1,4918.8,6105.2,6665.5,7426.6,8514.4,8949.2,9311.2,9830.6,10807
Euro area,EMU,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258645.5,276817.5,308140,323375.6,340977.2,356900.3,374452.4,383324.6,400246,418311.2,426446.1,436168.2,424197.8,410882.8
Eritrea,ERI,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,11.7,12.8,17.4,16.5,10,7,11.7,13.3,5.2,10.6,7.5,9.7,8.5
Spain,ESP,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28887.2,31479.4,35673.9,39270.5,42014.7,43958.6,47326.9,49035.6,52355.1,55108.1,55736.4,57075.8,54794.2,52820.7
Estonia,EST,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.3,625.1,715.5,853.7,1014.9,1118,1128,1407.1,1381.7,1475,1506.4,1675.2,1604.2,1481.7
Ethiopia,ETH,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.6,202.5,220.5,272,309.1,342.9,413,451.1,513.5,710.6,842.4,1025,1020.8,1121
European Union,EUU,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388657,414985.1,459901.1,480818.1,506962.8,528948.8,553592.5,568066.2,593001.5,619018.3,632209,646623,635063.2,613774.3
Fragile and conflict affected situations,FCS,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1491.980798,1525.875054,1752.208606,2056.136193,2194.780569,2484.348404,2807.271356,3343.592665,3466.303314,3868.143827,4142.256312,4369.641074,4445.099726,5174.365231
Finland,FIN,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7792.3,8500.7,9037.7,9204,9413.7,9579.8,9921.3,9976.6,10345.3,10488.1,10824.1,11220,10752.7,10545.1
Fiji,FJI,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1,64.4,58.8,75,85.8,63.3,68,62.6,62.1,67.6,89.5,123.2,99.4,154.9
France,FRA,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51757.8,54775.8,59581.4,62448,64476.8,67209.2,69380.8,70177.1,72035.5,74413.7,75266,75017.4,72224.4,69430.8
Faroe Islands,FRO,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.4,6,2,7.1,4.3,2.9,8.2,4.9,4.5,5.9,3.2,4.3,2.7
Gabon,GAB,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,33.3,43.1,42.6,34.1,42.9,50.4,43.7,57.3,52,50.6,60.1,60.3,59.2
United Kingdom,GBR,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74599.8,78314.4,84993.1,88060.9,91352.4,92000.6,94757.4,95488.8,98479.6,101367,103051,102970.6,101407,97526.9
Georgia,GEO,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.6,269.2,377,357.5,307.4,350.1,406.6,346.4,463.2,441.4,473.4,486.1,492,579.4
Ghana,GHA,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.9,175.3,191.1,195.1,249,269.2,336.2,367.3,439.3,549.5,603.7,662.2,794.8,982.1
Gibraltar,GIB,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,10.6,7,18.9,15.1,11.8,12,11.4,11.2,11.6,11.3,23.8,27.3,38
"Gambia, The",GMB,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,37.4,36,46.1,36.2,41.7,40.2,44.7,33.8,37.3,45.1,49.2,42.7,46.5
Guinea-Bissau,GNB,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9.6,9.4,5.7,12.1,7.3,8.3,5.8,10.4,12.8,12,17.9,10.3,11.5
Equatorial Guinea,GNQ,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,4.1,1.5,3.7,3.8,2.4,4.8,4,2.2,2.8,2.3,2.2,5.1,7.4
Greece,GRC,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6680.5,7780.4,9248.9,10684,11041,11774.1,12118,11954.3,11967.4,11980.5,11923.4,11752.7,11195.8,10725.4
Grenada,GRD,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,5.6,5.7,14.1,20.4,23.8,19.5,15.6,26.7,28.1,35.8,55.5,31.5,34.3
Greenland,GRL,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,23.5,16.4,14.4,15.5,15.9,12.8,21.4,18.8,26.3,33.8,22.9,32.2,25.5
Guatemala,GTM,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,28.7,50.9,38.1,36.9,38.7,64.7,54.8,48.4,74.6,84.2,72.5,86,85.1
Guam,GUM,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,11.5,18.2,10.1,13,12.1,10.2,20.6,9.7,12.4,11.7,12.1,8.8,13.7
High income,HIC,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954801.5236,1028144.679,1135313.382,1176830.962,1220878.951,1250785.5,1292319.713,1330470.303,1387332.533,1430958.653,1455003.991,1482488.093,1450270.285,1398861.61
"Hong Kong SAR, China",HKG,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
